"nama","kode_rs","tempat_tidur","telepon","lokasi.lat","lokasi.lon","alamat","tipe","wilayah"
"RS BHAYANGKARA POLDA LAMPUNG","1871438",  80,NA, -5.37400000,105.22400000,"JL. PRAMUKA NO.88 RAJABASA BANDAR LAMPUNG","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS SEMEN GRESIK","3525021", 167,"(031) 3987840", -7.16623600,112.64227800,"JL. R A KARTINI NO. 280 KEL. TLOGOPATUT KEC. GRESIK, KAB. GRESIK","RS_RUJUKAN_PROVINSI","GRESIK, JAWA TIMUR"
"RS UMUM DAERAH TOBELO","8201010", 140,"0823-4880-5008",  1.72571500,127.99882300,"JL. LANBOUW GAMSUNGI TOBELO HALMAHERA UTARA","RS_RUJUKAN_PROVINSI","HALMAHERA UTARA, MALUKU UTARA"
"RS AR BUNDA KOTA PRABUMULIH","1672074", 226,"(0713) 326083", -3.40947300,104.25460800,"JL. ANGKATAN 45 NO.222, GN. IBUL BAR., KEC. PRABUMULIH TIM., KOTA PRABUMULIH, SUMATERA SELATAN 31113","RS_RUJUKAN_PROVINSI","KOTA PRABUMULIH, SUMATERA SELATAN"
"RS UMUM DAERAH BOLAANG MONGONDOW SELATAN","7110002",  50,"",  0.39921400,123.97974600,"MOLIBAGU, BOLANG UKI, KABUPATEN BOLAANG MONGONDOW SELATAN, SULAWESI UTARA","RS_RUJUKAN_PROVINSI","BOLAANG MONGONDOW SELATAN, SULAWESI UTARA"
"RS UMUM DAERAH JATI PADANG","3171800",  48,"(021) 22784477", -6.28556350,106.84006290,"JL. RAYA RAGUNAN NO. 16 DAN 17","RS_RUJUKAN_PROVINSI","JAKARTA SELATAN, DKI JAKARTA"
"RS AKADEMIS JAURY","7371052", 205,"(0411) 3617344", -5.13103500,119.41575700,"JL. JEND. M. JUSUF NO. 57 MAKASSAR","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS UMUM DAERAH WONOSARI","3403010", 230,"(0274) 391288", -7.96182300,110.60291800,"JL TAMAN BAKTI NO. 06 WONOSARI","RS_RUJUKAN_PROVINSI","GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM PANTI RAPIH","3471052", 401,"(0274) 563333", -7.77702400,110.37755200,"JL. CIK DI TIRO 30 YOGYAKARTA","RS_RUJUKAN_PROVINSI","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM DAERAH DR. H. MOH. ANWAR","3529014", 212,"(0328) 666788", -7.01555000,113.86455800,"JL. DR CIPTO NO. 35 DESA KOLOR KAB. SUMENEP","RS_RUJUKAN_PROVINSI","SUMENEP, JAWA TIMUR"
"RS UMUM DR. OEN","3372026", 284,"", -7.55510000,110.83900000,"JL. BRIGJEND KATAMSO 55,SURAKARTA","RS_RUJUKAN_PROVINSI","KOTA SURAKARTA, JAWA TENGAH"
"RS UMUM ANWAR MEDIKA","3515121", 287,"", -7.41210000,112.56100000,"JL. RAYA BY PASS KRIAN KM 33 SEMAWUT BALONG BENDO SIDOARJO","RS_RUJUKAN_PROVINSI","SIDOARJO, JAWA TIMUR"
"RS UMUM  AULIA HOSPITAL","1471396", 129,"(0761) 670001",  0.46396420,101.38544180,"JL HR SOEBRANTAS NO 63","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU"
"RS UMUM DAERAH CILEUNGSI","3201232", 235,"(021) 89934667", -6.43295400,107.04840900,"JL. RAYA CILEUNGSI-JONGGOL KM.10 CILEUNGSI KAB. BOGOR","RS_RUJUKAN_PROVINSI","BOGOR, JAWA BARAT"
"RS UMUM DAERAH KECAMATAN KALIDERES","3174518",  48,"(021) 22552766", -6.12671900,106.70399800,"JALAN SATU MARET NO. 48KELURAHAN PEGADUNGAN, KECAMATAN KALIDERES, JAKARTA BARAT","RS_RUJUKAN_PROVINSI","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM DAERAH TUGUREJO SEMARANG","3374134", 450,"(024) 7605297", -6.98454800,110.35593300,"JL. WALISONGO KM 8,5 NO 137  SEMARANG","RS_RUJUKAN_PROVINSI","KOTA SEMARANG, JAWA TENGAH"
"RS UMUM DAERAH SAWAH BESAR","3173698",  28,"(021) 22682477", -6.14892900,106.82987100,"JL. DWI WARNA RAYA NO. 6-8","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA"
"RS UMUM DAERAH SLEMAN","3404011", 211,"(0274) 868437", -7.68694100,110.34172600,"JL BHAYANGKARA 48 TRIHARJO SLEMAN DAERAH ISTIMEWA YOGYAKARTA, 55514","RS_RUJUKAN_PROVINSI","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
